Rank,Username,Name,Commits,PullRequests,Issues,TotalActivity
1,"bpasero","",13778,76,9,13863
2,"jrieken","",12259,0,0,12259
3,"Tyriar","",11636,41,15,11692
4,"C","",9120,53,3,9176
5,"joaomoreno","",8706,10,0,8716
6,"sandy081","",8328,49,3,8380
7,"alexdima","",7628,8,0,7636
8,"isidorn","",6078,1,0,6079
9,"roblourens","",5332,33,7,5372
10,"aeschli","",4894,14,0,4908
